Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total Local,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total Foreign,Total All,persentase_lokal,persentase_asing
2021-09-30,BCAP,EQUITY,42618850927,107,20852200.0,22065486920.0,2136800,0,3244058776,353744700,708639364,0,19607900,26414526660.0,0,6280448345,2635700,24882400,12727900,27816000,3495784363,0,6360029559,16204324267,42618850927.0,61.97850501705057,38.02149498294943
2021-09-30,BCIC,EQUITY,10012124501,208,606.0,154736.0,0,7192,83352804,205,1825005,0,100,85340648.0,0,1146242210,0,1264759,73698,1893,37845,0,20805,1147641210,1232981858.0,6.921484484648435,93.07851551535157
2021-09-30,BCIP,EQUITY,1429915525,62,18000000.0,651086524.0,44057000,0,487470591,194894910,1000,0,0,1395510025.0,0,7900000,0,4000,2687900,17500000,220000,0,6093600,34405500,1429915525.0,97.59387884119938,2.406121158800622
2021-09-30,BDMN,EQUITY,9773552870,2660,48438541.0,117414592.0,13790816,717,295726808,33840943,1641205,1531751,100,512385473.0,2024861,3436078,17371167,9136395219,785368,41052628,26366546,273500,30015520,9257720887,9770106360.0,5.244420624710579,94.75557937528941
2021-09-30,BEBS,EQUITY,9000000000,1425,0.0,358682852.0,0,0,479236448,0,0,0,0,837919300.0,0,199365700,0,400245000,4773100,0,557696900,0,0,1162080700,2000000000.0,41.895965,58.104035
2021-09-30,BEEF,EQUITY,1884312595,87,0.0,422452190.0,4500000,0,762290205,21517600,0,100000,10100,1210870095.0,0,0,0,42000,2147800,0,8527700,0,109000000,119717500,1330587595.0,91.00265924243793,8.997340757562075
2021-09-30,BEKS,EQUITY,43842343952,95,890150033.0,34131729849.0,325080,61400,7669584253,366001126,209451011,328440,5495624,43273126816.0,0,3913179,0,72417400,31962329,0,22445739,0,55049,130793696,43403920512.0,99.6986592582948,0.30134074170520864
2021-09-30,BELL,EQUITY,7250000000,158,0.0,5832090000.0,0,0,65487900,916260100,378554000,0,0,7192392000.0,0,0,0,0,108000,0,0,0,0,108000,7192500000.0,99.9984984358707,0.0015015641293013556
2021-09-30,BESS,EQUITY,3409203660,1395,0.0,1626700.0,0,0,707563260,0,0,0,0,709189960.0,0,0,0,3700,10000,0,0,0,0,13700,709203660.0,99.99806825588013,0.0019317441198766516
2021-09-30,BEST,EQUITY,9647311150,127,301348600.0,4050890100.0,13922500,0,2293890711,64320617,854229034,2210800,2859900,7583672262.0,0,971158900,822900,140749842,31766000,262037257,57257133,3330200,589516656,2056638888,9640311150.0,78.66626028974179,21.33373971025821
2021-09-30,BFIN,EQUITY,15967115620,1005,162630100.0,1411013080.0,22669900,176360,3284761728,782969990,3019836,10528140,39480140,5717249274.0,0,293049250,52306900,1397553086,1708260,1431583349,143532238,352700,6912670643,10232756426,15950005700.0,35.844810224738666,64.15518977526133
2021-09-30,BGTG,EQUITY,11175060000,204,485436000.0,1928210806.0,0,0,1891165770,1779500,1300000,614600,1,4308506677.0,0,513800,0,405915300,1487723,9871400,1821025100,0,0,2238813323,6547320000.0,65.80565295418583,34.19434704581416
2021-09-30,BHAT,EQUITY,5000000000,820,600326000.0,3443582900.0,0,0,33326400,388144800,67854000,0,0,4533234100.0,0,0,0,16687000,78300,0,600,0,0,16765900,4550000000.0,99.63151868131868,0.36848131868131867
2021-09-30,BHIT,EQUITY,86068156705,82,20752800.0,7251064776.0,92569100,1000,11365628798,309856560,2042848525,12000,31300,21082764859.0,0,40820086446,119531400,2149046516,29384640,444344266,2192105098,143621620,19087261860,64985381846,86068146705.0,24.49543259164337,75.50456740835664
2021-09-30,BIKA,EQUITY,592280000,254,0.0,0.0,0,0,581285800,0,0,0,0,581285800.0,0,700,0,0,13500,0,0,0,0,14200,581300000.0,99.9975571993807,0.0024428006193015655
2021-09-30,BIMA,EQUITY,608175716,182,570000.0,14300000.0,41000,0,51656580,0,19892200,0,0,86459780.0,0,0,0,0,12300,0,0,0,0,12300,86472080.0,99.98577575559649,0.014224244403511515
2021-09-30,BINA,EQUITY,5654375000,3680,1767053629.0,1938968402.0,42640400,0,117576865,76804700,13752312,0,0,3956796308.0,0,229700,139700,7714742,1437200,1035261950,2375500,0,593876150,1641034942,5597831250.0,70.68445137570019,29.31554862429981
2021-09-30,BIPI,EQUITY,44693066193,50,2888653109.0,25498060953.0,92281900,0,8613485838,606960000,464586591,0,273700,38164302091.0,0,1154915600,0,926770342,129961900,58461400,203438775,0,4055216085,6528764102,44693066193.0,85.39199777923815,14.608002220761842
2021-09-30,BIPP,EQUITY,5028669376,57,27775000.0,366940100.0,21000300,1604280,841677256,9410000,10583220,0,0,1278990156.0,0,3595072395,0,558200,129176400,0,1850800,0,0,3726657795,5005647951.0,25.550941027414655,74.44905897258535
2021-09-30,BIRD,EQUITY,2502100000,1235,129018600.0,147128695.0,18003400,0,666407182,86741100,29680466,4146500,981618,1082107561.0,9585400,57378034,40900,15526985,651600,12794209,4082937,0,29912374,129972439,1212080000.0,89.2769091974127,10.723090802587288
2021-09-30,BISI,EQUITY,3000000000,1015,134100200.0,12693900.0,2114500,0,87430938,46085100,700294,613400,0,283738332.0,0,2425940,205000,855066509,913841,17711200,19044232,0,196582446,1091949168,1375687500.0,20.625202453318796,79.37479754668121
2021-09-30,BJBR,EQUITY,9838787161,1360,882481900.0,27905449.0,9131400,13717800,805149781,93209745,14036253,3550900,1650305592,3499488820.0,2679600,17355900,39988432,34126521,3347785,335516591,61693406,1527767,78616070,574852072,4074340892.0,85.89091862370361,14.109081376296384
